obs,id,like,comment,share,engagement,log_engage,length,question,valence,hashtag,picture,url,at_mention,emoji
307,133187,0,1,0,1,0.6931471805599453,17,0,0.0,0,0,0,0,0
308,133188,0,1,0,1,0.6931471805599453,15,0,0.0,0,0,1,0,0
309,133189,0,1,0,1,0.6931471805599453,13,0,0.0,0,0,0,0,0
310,133190,0,0,0,0,0.0,10,0,0.0,0,0,0,0,0
311,133191,0,1,0,1,0.6931471805599453,30,0,0.0,0,0,1,0,0
312,133192,0,2,0,2,1.0986122886681098,28,0,0.7000000000000002,0,0,2,0,0
313,133193,0,0,0,0,0.0,22,0,0.0,0,0,0,0,0
314,133194,0,0,0,0,0.0,22,0,0.0,0,0,1,0,0
315,133195,0,1,1,2,1.0986122886681098,18,1,0.0,0,0,2,0,0
316,133196,0,0,0,0,0.0,6,0,0.0,0,0,0,0,0
317,133197,0,1,0,1,0.6931471805599453,11,0,0.0,0,0,1,0,0
318,133198,0,1,0,1,0.6931471805599453,21,0,0.0,0,0,0,0,0
319,133199,0,2,0,2,1.0986122886681098,14,0,0.0,0,0,1,0,0
320,133200,0,0,0,0,0.0,42,0,3.2855,0,0,0,0,0
321,133201,0,0,0,0,0.0,22,0,0.0,0,0,0,0,0
322,133202,0,4,0,4,1.6094379124341003,34,0,1.6,0,0,1,0,0
323,133203,0,4,0,4,1.6094379124341003,28,0,0.0,0,0,0,0,0
